number,r_0,r_1,phase_0,phase_1
1,0.001208641360683249,0.0007658976493373354,162.83351919242537,-33.92906326053983
2,0.0011494526547346838,0.0011176799559472672,153.24695305119363,-34.363645372802985
3,0.001007030984034795,0.0012322752233982009,146.09648840327986,-51.128452925915184
4,0.0008423613957199372,0.0014406576062576501,139.82720929714466,-54.84493794687169
5,0.0008584406596058002,0.0015611001274289428,142.77764382596004,-48.12041510703355
6,0.00036416482998324575,0.001569706790950484,139.59893675933324,-55.48079680115271
7,0.00048208279917813317,0.0017347127451884234,111.9916460597875,-49.51397035892536
8,0.00011590900144424371,0.0016761576660598934,15.645872763912877,-50.33420342182446
9,0.00022388639029635453,0.0016205663081297569,-49.6883952208615,-40.33201069616215
10,0.00024556549703547614,0.0019234417092969442,-84.52694279623014,-39.81896012798058
11,0.0002898708719589908,0.0018143327954440712,-102.08161217720804,-42.95278583389302
12,0.00040126061363291343,0.0017900675867380243,-68.48586377253912,-44.20621672243095
13,0.0006912388209020686,0.0012743447949727284,-76.45472825143516,-41.2972566921284
14,0.0008562540155911119,0.0013663445293202793,-58.14194335143049,-40.30071463289626
15,0.0012518433164626708,0.0011269215137821537,-62.39808340383993,-40.149921658734506
16,0.0011967406609026123,0.0006401716978676438,-74.3067044266332,-31.681753719066972
17,0.001662482643690422,0.0005660147133511889,-70.92572062712576,-35.24686531239192
18,0.0018426007687122098,0.0003195275139006251,-73.53531655597686,23.63307145257344
19,0.0016529936889611318,0.0005828504318349805,-83.13358429953723,86.68995976428074
20,0.0017492220024090388,0.0007267941641351507,-73.89677249638603,110.24506633224118
21,0.001793654109598685,0.001050497392307694,-85.69404379605184,102.42828425007392
22,0.0015158689576296911,0.0012881439645767688,-73.87222664499889,120.33412261610015
23,0.0013009823080384455,0.0015631497018733045,-76.42514968348821,114.54599813397347
24,0.0010863139757050604,0.0018898368594708892,-76.63644617495412,109.427477781114
25,0.0008305300378844808,0.002109337513980261,-67.86279099390308,111.4828908845826
26,0.0006211357888230957,0.0020678595139399405,-83.37303543748051,106.06590533086153
27,0.0003976932832186044,0.001974123448569857,50.79080348093233,107.4769983395784
28,0.0004390336485422085,0.0017632887393377525,129.9113695698583,97.16089034384352
29,0.0007105357529045344,0.001987790334993484,145.96244069975907,94.8510196510352
30,0.0009702773757178963,0.001932281696382006,132.0893476640915,96.46225658362005
31,0.0011468003936348213,0.0015615475999674407,138.70292251473373,87.41789338592561
32,0.0014465477453812128,0.0012382991111439562,135.6438009701699,92.72080843015785
33,0.0014849018610191289,0.0008834366649920493,138.52994153748799,83.2492666890038
34,0.0015655059639536153,0.0005604917551546045,141.08303591011864,66.35319431093718
35,0.00138252096530527,0.0004225362141856411,143.59536323263617,57.464012026792965
36,0.001765530138865418,0.0006625737329857644,159.62800781403428,-29.753107622546977
