number,r_0,r_1,phase_0,phase_1
1,0.09736210540349473,0.0002786233919781362,93.39576684182973,89.75836006146577
2,0.07907315313005268,0.00037464569157924076,87.50740216873766,-83.70051552869265
3,0.0642254894943439,0.00040445497261189044,88.85961985357527,-131.0745508843372
4,0.05311205523490199,0.0004946200777581651,91.31766741975878,-160.4740436166411
5,0.03674721750378217,0.0004866694531164031,91.163961475692,-161.51188645524846
6,0.03058187306095214,0.0004693269770396289,121.64850769511587,-162.57664697327334
7,0.03281192856932968,0.0005030936407071471,131.8344481282671,-156.98144003088998
8,0.03583818971313257,0.000537217777176558,141.63781962949375,-155.07377107873182
9,0.04310218248956158,0.0005105434875461749,151.23896504787186,-154.09484485144677
10,0.05599120509011603,0.0004790459007502404,151.96004174662656,-72.36434039700556
11,0.06905435267913841,0.00046875918318910724,147.42677068039114,-75.98214876977335
12,0.0786609677549941,0.00039888276645897775,143.8097933989551,66.05147212494462
13,0.09114077714796524,0.00036262062577577025,147.89289569495614,-14.12605355524679
14,0.08714953636894618,0.0002638048063109752,142.4331092858253,-8.375042133145925
15,0.09884461097702113,0.00020471644576362702,141.3803762195504,-69.13063231384409
16,0.10192283232455765,0.00019075226364793398,144.82730092248892,-135.35385015525952
17,0.0993220277786001,0.00018220481741927587,149.20535554873825,-112.41562499694729
18,0.09923521534084564,0.0002724280149883559,153.4689808328367,-107.1731066365734
19,0.0909497198798738,0.0003277871655331922,156.75956440106145,-101.78454678414039
20,0.11519119840459242,0.00019637942306833866,101.64660492702583,81.56643610439961
21,0.11738313324662412,0.00013926988747008185,103.85118070188969,21.093354487369442
22,0.1050324881726598,8.331867718050582e-05,104.9371561495786,0.6421041375954957
23,0.11379487548354748,0.0001098393628262193,118.5122092774274,-73.84145779895107
24,0.09927614449041768,0.0001681555171938372,121.17719769153494,-65.17308887240718
25,0.09687132682870533,0.00023569690294103653,118.56360259632915,-81.03722893854064
26,0.08930874787682377,0.00024930170353403236,115.04930657720526,-80.62610360748549
27,0.08129942742334224,0.000351489687638534,108.80193752762717,-80.72910703477876
28,0.05815113972760265,0.0003288958446836662,104.34337620936707,-98.41470907873591
29,0.0457654832834088,0.0004030103205567103,100.9616854320878,-113.55734804056286
30,0.030215151265564122,0.0004292521409107416,104.26429551232539,-117.73437791077257
31,0.02250383389579364,0.0004892506032693888,118.64171751931465,-121.04767078737898
32,0.025098837479476836,0.00047511771789455917,-12.644362646099573,-129.5812391408849
33,0.04592491523878811,0.0004937075250472176,157.4246854772303,-124.70586051829737
34,0.06485827557678003,0.00045601995837027474,162.1047187100291,-123.49397132867367
35,0.08055260799541457,0.00042520410682658663,159.16488190734302,-116.97402512091281
36,0.09843063315481576,0.0003746500073066762,153.86955071665182,-110.05526212559343
