number,r_0,r_1,phase_0,phase_1
1,0.10875089579695571,0.0003374757790619592,88.96308913101119,141.172616925176
2,0.1032081740563785,0.0003207329888828636,80.51461504828875,144.11662672117842
3,0.08425098629918587,0.0003236506324809841,75.95396608444665,53.62896300936833
4,0.06805491076191564,0.00040675627201596594,80.89761811098435,36.66298860606306
5,0.04803629074964229,0.00044954660100506337,93.59168343210875,-88.96295633825366
6,0.03909856755474709,0.0004793595116260008,108.02465859922219,-58.82283044883196
7,0.03323503258964162,0.0006003927197328547,115.08716798426643,-107.63556012007574
8,0.054110513246855334,0.0005373180779803344,139.21294009700313,-168.24550859853625
9,0.05766727017193909,0.0005849695110908035,146.03893678750143,-115.24029307321594
10,0.06824700622210275,0.0004720692494255562,148.7589473293046,-67.33082625563361
11,0.08138262320253153,0.000488534370331921,131.8444223348152,-121.98866349640662
12,0.08567175988258849,0.0004511350318634303,126.5404705973188,-96.4338380192106
13,0.0904437014983268,0.0003364182746664538,125.95691147912677,-147.58752432261468
14,0.08934184128979497,0.000306980485976451,126.40219121112838,-151.33484424951294
15,0.09326852353024849,0.00026167340836504087,124.31919160491327,-142.11600905771624
16,0.09797028279473993,0.00023295283503567058,127.53631785703942,-103.39145608432457
17,0.10332524473762107,0.0003342227825076756,130.50001824965258,-92.91596151504339
18,0.10327078872861198,0.000388528686296193,136.04608014239432,-92.48794448575468
19,0.08909773110877459,0.00046915046592196783,143.91029702392805,-93.91365860422384
20,0.08542210972282085,0.0004594128616191736,145.5062114236634,-108.58566488418958
21,0.06702705897931341,0.0004622775473191507,161.3251368087899,-104.32820883604064
22,0.04975298379537231,0.00047123439177801287,164.61984395781812,-110.23179658171527
23,0.028262719332650697,0.0004282835566121502,56.5034507854367,-118.74218560858306
24,0.010045000669467135,0.0004921682446325376,83.38194553218224,-117.76643238007094
25,0.02049895023589473,0.0004322784245073616,30.97757749821079,-114.48802813683488
26,0.03770874476959814,0.0004923318385781943,21.270629150146828,-114.96052848238051
27,0.053938544087828076,0.00042612162577735795,28.211522753124708,-102.2818963399294
28,0.06056385506614679,0.0004025370540901241,46.01027949197062,-99.69930733140048
29,0.06647602785129812,0.00034465510222027947,50.24107031034212,-95.01221938513703
30,0.07374009952425072,0.00028322398924432457,69.61335743883237,-84.63011148646764
31,0.0785809783499858,0.00021287210501998825,82.69447191839528,-80.50744332925119
32,0.09098638625402211,0.00011495888272216023,92.67379344730686,-70.7955987094995
33,0.10508751882974722,8.635757325194141e-05,93.07385460541278,30.53196241457267
34,0.0976320245392787,0.0001220539799555853,93.27978403053118,112.29176312081404
35,0.11574494230654268,0.00020075150361499437,96.6700944719277,136.17884130720316
36,0.11758163596059476,0.0002895664744249516,97.15005222892495,141.78503586874538
