number,r_0,r_1,phase_0,phase_1
1,0.0399535796340586,8.646015746048597e-05,58.355425405422764,-49.940993034287814
2,0.0454591480649406,6.426375119621995e-05,67.96157291842125,8.203107420575211
3,0.0453197279437935,7.11472648406601e-05,67.83186383208678,21.309755447319088
4,0.043227004487438485,8.747732201656739e-05,64.49110608884655,45.75035097382397
5,0.04523268041229813,0.00011252754717537825,60.79860182742351,95.13149847011134
6,0.04014971826388471,0.0001187183853608381,54.6479866454488,90.35543424690664
7,0.031000310772989537,0.00013680985750125132,49.6220424746027,37.86266178846639
8,0.022004744714880776,0.00018034693710206734,53.72126098948528,44.382152800369745
9,0.012811025771008405,0.00022134609444171376,67.88087314861839,97.76119957063509
10,0.010523690486983718,0.00022424674544316316,81.45705680320759,-13.350841732224524
11,0.012890318657870667,0.0002577528417543324,112.98611770483272,28.958916050816782
12,0.01880294174026297,0.0002657335540134642,144.10989855339005,-68.70492822904725
13,0.030577309172707224,0.0002896770157984948,144.82338757570793,18.16416144216877
14,0.032063518433349765,0.0002329017436098888,138.58068197741517,39.29793656415966
15,0.03884281322432727,0.0002467179975667651,131.9647390002881,58.62575997108238
16,0.04088860113805802,0.00019221505277981023,142.07875858233763,40.64563237690245
17,0.03849838864065974,0.00017230173059717014,129.91969644050346,5.019304638046639
18,0.03877660491386213,0.00013897275359867043,121.08610747010923,-27.149772141076788
19,0.03964955932406755,8.866998544500388e-05,116.71259706630428,-74.11456884026492
20,0.04094666905134539,9.385198527279803e-05,111.60837517283336,-75.99865743643949
21,0.041467944036796704,0.00012497923043785207,109.25740146104431,-88.46763812044787
22,0.041595891760372414,0.0001535735401084878,107.82264702629287,-93.89664029908197
23,0.04023074266697628,0.00019805351949767346,115.46280497506717,-96.84501923748665
24,0.03739078748532217,0.00020168279714232192,117.38832323626423,-110.16406647030826
25,0.034513267201319024,0.00025591201411565945,122.69666145112494,-112.36679013899656
26,0.028300972199906915,0.00024030602595909083,128.39686009170367,-113.60480102728324
27,0.020990071395684092,0.00023253822107274568,140.73787923196048,-116.80090983851406
28,0.01367527147024035,0.00022745574832049929,150.9470447250011,-118.56140120909282
29,0.0073065576070408785,0.00023857770466998145,-26.05047413235182,-122.34209182050667
30,0.0014902594879709161,0.00026133957422946153,-37.68358346981142,-126.95740926034786
31,0.007566268199290285,0.00021667523919259438,-7.122053521706319,-121.09261777274573
32,0.00969871343976829,0.00021842691329881364,15.320090542542745,-113.88117186847346
33,0.011495255062313992,0.00019652264090625155,43.153292010380405,-115.68777200022278
34,0.020081327654159317,0.00017064868552052508,62.0551269727856,-110.07019187474657
35,0.02698280214707416,0.00012171557694835289,69.55952187896301,-75.07445406821498
36,0.03883601802977571,9.548717697058709e-05,76.6844431091117,-63.68563048038802
