number,r_0,r_1,phase_0,phase_1
1,0.10548437850486819,0.00032152389074530823,84.82890778221176,138.38613416481832
2,0.09320445771209564,0.0003643934324322105,79.5207535730255,149.65501746655528
3,0.08901714657122789,0.00039205930104325813,85.10815794479849,155.29875295796617
4,0.07660266808835654,0.0004917178747447853,86.64527334440709,112.04734298332224
5,0.05848709498012674,0.0005326435319015715,80.49444964682634,22.156229614044577
6,0.044969443761758855,0.00046600859851452414,109.76938005327891,-32.52479058993225
7,0.029354776346448366,0.0006126988137825668,119.28911059833068,57.167666113713466
8,0.060568711565327144,0.0005968028547705765,127.59059697300772,-119.04209270369908
9,0.0486996593470735,0.0005924642763141365,131.07736341622675,-10.570499018869526
10,0.0627923126050358,0.0005613373449083038,139.61105317338354,50.632517450369456
11,0.060522655913285275,0.0005621365524296806,139.02184215446488,106.16038205839442
12,0.06800379845044266,0.0005316040795401583,115.98898430560438,83.66709230584691
13,0.07735485885415277,0.0004430350983765864,133.10980931862994,19.189380842577783
14,0.08089865822838663,0.00032651044186262696,107.85812636083713,41.3220390911665
15,0.10217667796851108,0.00023750923387254864,110.87527743676358,-52.847575861324714
16,0.10183960628192044,0.00020247853000464352,113.27637370238912,-129.09000758406276
17,0.11352590657868968,0.00019491211281135452,115.62534645763417,-117.89512050349981
18,0.10808080341044769,0.00028598679288349276,127.0236384943038,-108.33159475783428
19,0.10339982590695061,0.0004462747380244819,135.4394580974574,-116.17923392830288
20,0.13328884081982756,0.00018002786760046126,78.77397592462665,108.12239889063613
21,0.13866611912339133,0.00015390268710358933,76.45642733726713,90.88181417096735
22,0.12567828836804446,9.176695373213018e-05,87.23228538125807,29.87801286294692
23,0.1209202811586226,7.818882619967118e-05,83.32039481254496,4.026946758127012
24,0.09069083901479946,0.0001459637421219432,81.65450685123726,-71.30585321131362
25,0.07539389134071778,0.00023902600624366803,75.93686206451537,-89.5629393967361
26,0.08764963078041714,0.00034738308055676947,72.87597061029074,-92.45002063163257
27,0.05425274177679728,0.0003369754168785502,44.71593389721178,-110.04486777699394
28,0.0517927939783432,0.000487895901736139,47.3644387310039,-113.00091917151686
29,0.0436714690089174,0.0005247851759342847,21.778166188463473,-119.1974909782044
30,0.02500409972064892,0.0005198308961138749,9.01508889767828,-132.93222304489973
31,0.011316443750834074,0.0005413163033448183,1.608131746617691,-137.39900701597327
32,0.01892456932690232,0.0006083829594445397,108.86890670211815,-134.27641385180468
33,0.039833199750488935,0.0005470887875461507,161.11367550713703,-130.6928063164587
34,0.07186379896203642,0.0005871966530196971,148.5810276537132,-124.05775110200709
35,0.0855435367313539,0.0004961243750077876,148.27503280924975,-121.19248918548179
36,0.08732870566867054,0.0003706500950528968,146.28229179598998,-110.16354955791947
